======================================================================
  CIFAR-10 Training: ResNet-20
======================================================================
  Epochs: 200 | Batch: 128 | LR: 0.1
  Weight Decay: 0.0005 | Optimizer: sgd
  Scheduler: CosineAnnealingLR (T_max=200)
  Early Stop: patience=25 | min_delta=0.01
----------------------------------------------------------------------
  Data: 45000 train | 5000 val
----------------------------------------------------------------------
  Model: ResNet-20 | 0.27M params | AMP: True
----------------------------------------------------------------------
Epoch: 031/200 | LR: 0.094550 | Train Loss: 0.7306 | Train Acc: 74.91% | Val Loss: 0.6864 | Val Acc: 76.96% | Best: 78.84% | Patience: 7/25 | Time: 9.8s
Epoch: 032/200 | LR: 0.094188 | Train Loss: 0.7188 | Train Acc: 75.10% | Val Loss: 0.6536 | Val Acc: 78.44% | Best: 78.84% | Patience: 0/25 | Time: 10.0s
Epoch: 033/200 | LR: 0.093815 | Train Loss: 0.7228 | Train Acc: 74.99% | Val Loss: 0.6773 | Val Acc: 78.58% | Best: 78.84% | Patience: 1/25 | Time: 8.8s
Epoch: 034/200 | LR: 0.093432 | Train Loss: 0.7253 | Train Acc: 74.72% | Val Loss: 0.7962 | Val Acc: 74.14% | Best: 78.84% | Patience: 2/25 | Time: 8.7s
Epoch: 035/200 | LR: 0.093037 | Train Loss: 0.7210 | Train Acc: 75.08% | Val Loss: 0.8972 | Val Acc: 72.54% | Best: 78.84% | Patience: 3/25 | Time: 8.7s
Epoch: 036/200 | LR: 0.092632 | Train Loss: 0.7151 | Train Acc: 75.32% | Val Loss: 0.6839 | Val Acc: 78.46% | Best: 78.84% | Patience: 4/25 | Time: 8.7s
Epoch: 037/200 | LR: 0.092216 | Train Loss: 0.7132 | Train Acc: 75.44% | Val Loss: 1.0012 | Val Acc: 71.36% | Best: 78.84% | Patience: 5/25 | Time: 8.6s
Epoch: 038/200 | LR: 0.091790 | Train Loss: 0.7106 | Train Acc: 75.44% | Val Loss: 0.5680 | Val Acc: 80.54% | Best: 80.54% * | Patience: 0/25 | Time: 8.6s
Epoch: 039/200 | LR: 0.091354 | Train Loss: 0.7056 | Train Acc: 75.75% | Val Loss: 0.5723 | Val Acc: 80.98% | Best: 80.98% * | Patience: 0/25 | Time: 8.6s
Epoch: 040/200 | LR: 0.090907 | Train Loss: 0.7070 | Train Acc: 75.73% | Val Loss: 0.7717 | Val Acc: 75.20% | Best: 80.98% | Patience: 1/25 | Time: 8.6s
Epoch: 041/200 | LR: 0.090451 | Train Loss: 0.7040 | Train Acc: 75.72% | Val Loss: 0.7705 | Val Acc: 74.44% | Best: 80.98% | Patience: 2/25 | Time: 8.8s
Epoch: 042/200 | LR: 0.089984 | Train Loss: 0.7024 | Train Acc: 75.80% | Val Loss: 0.7172 | Val Acc: 75.54% | Best: 80.98% | Patience: 3/25 | Time: 8.7s
Epoch: 043/200 | LR: 0.089508 | Train Loss: 0.7022 | Train Acc: 75.90% | Val Loss: 0.6756 | Val Acc: 77.82% | Best: 80.98% | Patience: 4/25 | Time: 8.7s
Epoch: 044/200 | LR: 0.089022 | Train Loss: 0.6955 | Train Acc: 75.91% | Val Loss: 0.6041 | Val Acc: 80.26% | Best: 80.98% | Patience: 0/25 | Time: 8.8s
Epoch: 045/200 | LR: 0.088526 | Train Loss: 0.6959 | Train Acc: 75.86% | Val Loss: 1.0630 | Val Acc: 67.86% | Best: 80.98% | Patience: 1/25 | Time: 8.7s
Epoch: 046/200 | LR: 0.088020 | Train Loss: 0.6889 | Train Acc: 76.15% | Val Loss: 0.6557 | Val Acc: 78.90% | Best: 80.98% | Patience: 2/25 | Time: 8.7s
