epoch,lr,train_loss,train_acc,val_loss,val_acc
127,0.030143,0.4934,83.15,0.3900,86.52
128,0.029424,0.4932,82.96,0.4152,86.84
129,0.028711,0.4861,83.20,0.3917,86.80
130,0.028003,0.4840,83.15,0.3693,88.04
131,0.027300,0.4822,83.27,0.3852,87.80
132,0.026604,0.4791,83.61,0.4084,86.90
133,0.025912,0.4749,83.66,0.3690,87.74
134,0.025227,0.4661,83.82,0.4193,86.54
135,0.024548,0.4704,83.81,0.3763,87.92
136,0.023875,0.4666,83.80,0.4992,84.44
137,0.023209,0.4524,84.29,0.3683,87.80
138,0.022549,0.4617,83.82,0.3531,88.96
139,0.021896,0.4518,84.36,0.3616,88.12
140,0.021250,0.4533,84.24,0.3491,88.74
141,0.020611,0.4427,84.70,0.3413,88.92
142,0.019979,0.4458,84.75,0.3601,88.22
143,0.019355,0.4426,84.82,0.3697,87.22
144,0.018738,0.4327,85.10,0.2995,89.80
145,0.018129,0.4277,85.28,0.3361,89.20
146,0.017528,0.4330,85.20,0.3389,89.38
147,0.016934,0.4211,85.44,0.3238,89.54
148,0.016349,0.4267,85.34,0.3134,89.50
149,0.015773,0.4130,85.67,0.3196,89.94
150,0.015204,0.4141,85.67,0.3124,90.14
151,0.014645,0.3997,86.16,0.3070,89.96
152,0.014094,0.3934,86.36,0.2682,90.74
153,0.013552,0.3963,86.22,0.3119,90.16
154,0.013018,0.3930,86.48,0.2829,90.68
155,0.012494,0.3902,86.55,0.3774,88.50
156,0.011980,0.3882,86.66,0.2843,90.74
157,0.011474,0.3801,86.96,0.2678,91.38
158,0.010978,0.3752,86.88,0.2658,91.18
159,0.010492,0.3747,87.04,0.3144,90.22
160,0.010016,0.3675,87.32,0.2783,90.68
161,0.009549,0.3636,87.33,0.2857,91.00
162,0.009093,0.3567,87.70,0.2587,91.36
163,0.008646,0.3562,87.87,0.2730,91.26
164,0.008210,0.3526,87.86,0.2459,91.84
165,0.007784,0.3427,88.14,0.2607,91.32
166,0.007368,0.3411,88.25,0.2609,91.76
167,0.006963,0.3368,88.37,0.2414,91.80
168,0.006568,0.3328,88.40,0.2441,91.62
169,0.006185,0.3323,88.50,0.2377,92.24
170,0.005812,0.3209,88.86,0.2538,91.46
171,0.005450,0.3183,88.93,0.2265,92.46
172,0.005099,0.3088,89.50,0.2364,92.22
173,0.004759,0.3076,89.35,0.2185,92.72
174,0.004430,0.3005,89.48,0.2104,92.74
175,0.004112,0.3058,89.47,0.2239,93.10
176,0.003806,0.2946,89.93,0.2247,92.66
177,0.003511,0.2959,89.81,0.2149,92.68
178,0.003228,0.2872,90.08,0.2152,92.96
179,0.002956,0.2789,90.55,0.2161,93.04
180,0.002696,0.2730,90.63,0.2038,93.50
